file,offset,japanese,english
06801.md1,0x2BF8,"<button:00000036>戻る
<button:00000037>説明切替
<button:00000038>リスト表示
<button:00000021>変更","<button:00000036>Back
<button:00000037>Info
<button:00000038>List View
<button:00000021>Change"
06801.md1,0x2C30,"<button:00000035>決定
<button:00000036>戻る
<button:00000037>説明切替","<button:00000035>Select
<button:00000036>Back
<button:00000037>Info"
06801.md1,0x2C98,"<button:00000035>決定
<button:00000036>戻る","<button:00000035>Select
<button:00000036>Back"
06802.md1,0x5F80,"たちは
称号「","'s party got """
06802.md1,0x5F90,」を得ました,""" as a title!"
06802.md1,0x62A8,リファイン,Refine
06802.md1,0x62B8,装身具,Trinket
06802.md1,0x62C0,防具,Armor
06802.md1,0x62C8,武器,Weapon
06802.md1,0x62D0,道具,Items
06802.md1,0x62D8,外装,Outfit
06802.md1,0x62E0,装飾品,Jewelry
06802.md1,0x6318,両手,2-Hand
06802.md1,0x6328,"<button:00000035>選択
<button:00000036>戻る
<button:00000037>説明切替
<button:00000038>取消","<button:00000035>Select
<button:00000036>Back
<button:00000037>Info
<button:00000038>Cancel"
06802.md1,0x6390,レンズ,Lens
06802.md1,0x63C0,"実行しますか？
 
<button:00000035>実行  <button:00000036>やめる","Proceed?
 
<button:00000035>Yes  <button:00000036>No"
06802.md1,0x63E8,"<button:00000035>決定
<button:00000036>戻る
<button:00000037>説明切替
<button:00000019>結果参照Ａ
<button:0000001D>結果参照Ｂ","<button:00000035>Select
<button:00000036>Back
<button:00000037>Info
<button:00000019>Result A
<button:0000001D>Result B"
06802.md1,0x6430,<button:00000036>戻る,<button:00000036>Back
06802.md1,0x6440,"<button:00000035>使用
<button:00000036>戻る
<button:00000037>説明切替
<button:00000038>捨てる","<button:00000035>Use
<button:00000036>Back
<button:00000037>Info
<button:00000038>Drop"
06802.md1,0x6470,"<button:00000035>決定
<button:00000036>戻る","<button:00000035>Select
<button:00000036>Back"
06802.md1,0x64E8,個手に入れた, obtained.
06802.md1,0x64F8,ルーンボトルの変更はできません,Rune Bottles can't change.
06802.md1,0x6520,はこれ以上持てません, can't be carried anymore.
06803.md1,0x8918,装身具,Trinket
06803.md1,0x8920,防具,Armor
06803.md1,0x8928,武器,Weapon
06803.md1,0x8930,道具,Items
06803.md1,0x8940,外装,Outfit
06803.md1,0x8948,装飾品,Jewelry
06803.md1,0x8950,腕輪,Bangle
06803.md1,0x8958,短剣,Dagger
06803.md1,0x8960,篭手,Glove
06803.md1,0x8998,両手,2-Hand
06803.md1,0x89A8,食材,Food
06803.md1,0x89B0,調理器具,Cookware
06803.md1,0x89C0,"<button:00000035>決定
<button:00000036>戻る","<button:00000035>Select
<button:00000036>Back"
06803.md1,0x89E0,ガルド,Gald
06803.md1,0x89E8,  購入,  Buy
06803.md1,0x89F0,  売却,  Sell
06803.md1,0x8A1C,"でいいですか？
 
<button:00000035>売る  <button:00000036>やめる",", OK?
 
<button:00000035>Sell  <button:00000036>Cancel"
06803.md1,0x8A48,"これでいいですか？
 
<button:00000035>買う  <button:00000036>やめる","Is this OK?
 
<button:00000035>Buy  <button:00000036>Cancel"
06803.md1,0x8A78,店を出る,Leave shop
06803.md1,0x8A88,装備,Equip
06803.md1,0x8A90,売る,Sell
06803.md1,0x8A98,買う,Buy
06803.md1,0x8AA8,"<button:00000035>決定
<button:00000036>戻る
<button:00000037>説明切替
<button:00000038>キャラ切替
<button:00000021><button:00000039><button:0000003A>個数増減","<button:00000035>Select
<button:00000036>Back
<button:00000037>Info
<button:00000038>Switch Char
<button:00000021><button:00000039><button:0000003A>Quantity"
06804.md1,0x4C10,エンチャント,Enchant
06804.md1,0x4C20,アクション,Action
06804.md1,0x4C30,アームド,Armed
06804.md1,0x4C40,"<button:00000035>決定
<button:00000036>戻る
<button:00000037>説明切替
<button:00000019>アクティブレベル説明
<button:00000039><button:0000003A>キャラ切替
","<button:00000035>Select
<button:00000036>Back
<button:00000037>Info
<button:00000019>Active Level
<button:00000039><button:0000003A>Switch Char
"
06804.md1,0x4C98,<button:00000021><button:00000039><button:0000003A>キャラ切替,<button:00000021><button:00000039><button:0000003A>Switch Char
06804.md1,0x4CE0,チェイン,Chain
06804.md1,0x4CF0,マジック,Magic
06804.md1,0x4D00,スキル,Skill
06804.md1,0x4D08,アタック,Attack
06804.md1,0x4DC8,"<button:00000035>変更
<button:00000036>戻る
<button:00000037>説明切替
<button:00000038>はずす
<button:00000039><button:0000003A>術技切替","<button:00000035>Change
<button:00000036>Back
<button:00000037>Info
<button:00000038>Remove
<button:00000039><button:0000003A>Switch Arte"
06804.md1,0x4E88,"<button:00000035>決定
<button:00000036>戻る
<button:00000037>説明切替","<button:00000035>Select
<button:00000036>Back
<button:00000037>Info"
06804.md1,0x4EF0,"<button:00000036><button:0000001D>戻る
<button:00000039><button:0000003A>キャラ切替
","<button:00000036><button:0000001D>Back
<button:00000039><button:0000003A>Switch Char
"
06805.md1,0x4038,フォーマットが完了しました！,Format complete!
06805.md1,0x4058,フォーマットに失敗しました,Format failed.
06805.md1,0x4078,"のメモリーカード（ＰＳ２）に
アクセス中です","'s Memory Card (PS2) is
being accessed."
06805.md1,0x40A8,このゲームのセーブデータがありません,No save data for this game.
06805.md1,0x4138,"ゲームを中断しますか？
ただし、再開後は中断データが
なくなりますのでご注意ください
","Suspend the game?
Note: the suspend data is
deleted once you resume.
"
06805.md1,0x4190,"<size:000000E0>（中断データは上書きされます）<size:00000100>
","<size:000000E0>(Suspend data is overwritten)<size:00000100>
"
06805.md1,0x41C0," 
よろしいですか？
 
<button:00000035>はい  <button:00000036>いいえ"," 
Is this OK?
 
<button:00000035>Yes  <button:00000036>No"
06805.md1,0x41F0,"データを新規作成します。よろしいですか？
 
<button:00000035>はい  <button:00000036>いいえ","Create new data. Is this OK?
 
<button:00000035>Yes  <button:00000036>No"
06805.md1,0x4238,"選択中のデータに上書きセーブします。
よろしいですか？
 
<button:00000035>はい  <button:00000036>いいえ","Overwrite the selected data.
Is this OK?
 
<button:00000035>Yes  <button:00000036>No"
06805.md1,0x4288,"選択中のデータをロードします。よろしいですか？
 
<button:00000035>はい  <button:00000036>いいえ","Load the selected data. Is this OK?
 
<button:00000035>Yes  <button:00000036>No"
06805.md1,0x42E8,"のメモリーカード（ＰＳ２）は
このゲームの中断データを新規作成するための空き容量が
足りません。
新規作成には ","'s Memory Card (PS2) does not
have enough free space to create
suspend data.
Creating it needs "
06805.md1,0x4358,KB 以上の空き容量が必要です,KB or more of free space.
06805.md1,0x4378,"のメモリーカード（ＰＳ２）は
このゲームのセーブデータを新規作成するための空き容量が
足りません。
新規作成には ","'s Memory Card (PS2) does not
have enough free space to create
save data.
Creating it needs "
06805.md1,0x43E8,セーブに失敗しました,Save failed.
06805.md1,0x4400,ロードに失敗しました,Load failed.
06805.md1,0x4418,"セーブ中です。メモリーカード（ＰＳ２）を
抜いたり、電源を切ったりしないでください","Saving. Do not remove the Memory
Card (PS2) or turn off the power."
06805.md1,0x4470,セーブが完了しました！,Save complete!
06805.md1,0x4488,"ロード中です。メモリーカード（ＰＳ２）を抜いたり、
電源を切ったりしないでください","Loading. Do not remove the Memory
Card (PS2) or turn off the power."
06805.md1,0x44E0,ロードが完了しました！,Load complete!
06805.md1,0x44F8,"<button:00000035>決定
<button:00000036>戻る
<button:00000037>グラフ切替
","<button:00000035>Select
<button:00000036>Back
<button:00000037>Graph
"
06805.md1,0x4590,"のメモリーカード（ＰＳ２）に
アクセスできません","'s Memory Card (PS2)
cannot be accessed."
06805.md1,0x45C0,"セーブを終了しますか？
 
<button:00000035>終了する  <button:00000036>戻る","Exit the save menu?
 
<button:00000035>Exit  <button:00000036>Back"
06806.md1,0xF0F1,掛け合い,Banter
06806.md1,0xF13C,ノック,Knock
06806.md1,0xF148,女盗賊,Thief
06806.md1,0xF150,魔女,Witch
06806.md1,0xF158,女神官,Cleric
06806.md1,0xF160,ヴァンパイア,Vampire
06806.md1,0xF178,拳闘士,Boxer
06806.md1,0xF180,男神官,Priest
06806.md1,0xF188,戦士,Warrior
06806.md1,0xF190,槍闘士,Lancer
06806.md1,0xF198,掛け合い,Banter
06806.md1,0xF1D8,イベント,Event
06806.md1,0xF1E8,マップ,Map
06806.md1,0xF1F0,戦闘,Battle
06806.md1,0xF1F8,システム,System
06806.md1,0xF48D,"ひとつ前へ
<button:0000003A>ひとつ先へ
","Previous
<button:0000003A>Next
"
06806.md1,0xF4B0,"<button:00000021>変更
<button:00000036>戻る","<button:00000021>Change
<button:00000036>Back"
06806.md1,0xF5D5,"前へ
<button:0000003A>ひとつ先へ
","Back
<button:0000003A>Next
"
06807.md1,0x7448,料理,Cooking
06807.md1,0x7450,すでに同じ内容のレシピを持っています,You already have that recipe.
06807.md1,0x7478,削除,Delete
06807.md1,0x7480,アレンジ,Arrange
06807.md1,0x7490,名前変更,Rename
06807.md1,0x74A0,オート重複時設定,Auto-Cook Overlap
06807.md1,0x74B8,オート設定,Auto Set
06807.md1,0x74C8,"レシピを削除しますか？
 
<button:00000035>削除  <button:00000036>やめる","Delete this recipe?
 
<button:00000035>Delete  <button:00000036>Cancel"
06807.md1,0x74F8,"を料理しますか？
 
<button:00000035>実行  <button:00000036>やめる",", cook it?
 
<button:00000035>Cook  <button:00000036>Cancel"
06807.md1,0x7528,の料理に失敗しました, was a failure.
06807.md1,0x7540,を料理しました, is ready!
06807.md1,0x7550,"これらの食材で料理してみますか？
 
<button:00000035>実行  <button:00000036>やめる","Cook with these ingredients?
 
<button:00000035>Cook  <button:00000036>Cancel"
06807.md1,0x7590,"レシピ作成には２種類以上の食品を
使用する必要があります
 
レシピの作成をやめますか？
 
<button:00000035>やめる  <button:00000036>続行","A recipe needs at least two
different ingredients.
 
Stop creating this recipe?
 
<button:00000035>Stop  <button:00000036>Continue"
06807.md1,0x7600,"新規にレシピを作成しますか？
 
<button:00000035>作成  <button:00000036>やめる","Create a new recipe?
 
<button:00000035>Create  <button:00000036>Cancel"
06807.md1,0x7638,"<button:00000035>決定
<button:00000036>戻る
<button:00000037>説明切替
<button:00000038>メニュー","<button:00000035>Select
<button:00000036>Back
<button:00000037>Info
<button:00000038>Menu"
06807.md1,0x7670,戦闘不能,K.O.
06807.md1,0x7680,鈍足,Slow
06807.md1,0x7688,凍結,Freeze
06807.md1,0x7690,麻痺,Para
06807.md1,0x7698,衰弱,Weak
06807.md1,0x76A8,知性＋,Int +
06807.md1,0x76B0,命中＋,Hit +
06807.md1,0x76B8,防御＋,Def +
06807.md1,0x76C0,攻撃＋,Atk +
06807.md1,0x76C8,ＨＰ継続回復,HP Regen
06807.md1,0x7708,チェイン,Chain
06807.md1,0x7718,マジック,Magic
06807.md1,0x7728,スキル,Skill
06807.md1,0x7730,アタック,Attack
06807.md1,0x7740,強化,Boost
06807.md1,0x7748,耐性,Resist
06807.md1,0x7750,ステータス,Status
06807.md1,0x77C0,回復,Heal
06807.md1,0x77C8,ダメージ,Damage
06807.md1,0x7800,"<button:00000035>決定
<button:00000036>戻る","<button:00000035>Select
<button:00000036>Back"
06807.md1,0x7818,みんな満腹です,Everyone is full.
06807.md1,0x7930,"レシピ作成には２種類以上の食品を
所持している必要があります","A recipe needs at least two
different ingredients on hand."
06807.md1,0x7970,<button:00000035>保存する  <button:00000036>保存しない,<button:00000035>Save  <button:00000036>Don't save
06807.md1,0x7990,保存しました,Saved.
06807.md1,0x7A18,"<button:00000035>決定
<button:00000036>戻る
<button:00000037>説明切替","<button:00000035>Select
<button:00000036>Back
<button:00000037>Info"
06807.md1,0x7A78,新作,New
06808.md1,0x4620,カスタム,Custom
06808.md1,0x4630,デフォルト,Default
06808.md1,0x4640,元に戻す,Undo
06808.md1,0x4650,アクティブ,Active
06808.md1,0x4660,オン,On
06808.md1,0x4668,オフ,Off
06808.md1,0x4688,フェイス,Face
06808.md1,0x4698,キャラ,Char
06808.md1,0x46A0,走り,Run
06808.md1,0x46A8,歩き,Walk
06808.md1,0x46E8,戦闘オートカメラ,Battle Auto Camera
06808.md1,0x4700,敵ターゲットＳＰ常時表示,Always Show Target SP
06808.md1,0x4720,コントローラ振動,Controller Vibration
06808.md1,0x4738,スクリーンチャット字幕,Screen Chat Subtitles
06808.md1,0x4750,ウィンドウカラー,Window Color
06808.md1,0x4768,画面位置調整,Screen Adjust
06808.md1,0x4778,メニュー背景,Menu BG
06808.md1,0x4788,サウンド,Sound
06808.md1,0x4798,フィールド,Field
06808.md1,0x47A8,戦闘キーカスタマイズ,Battle Key Config
06808.md1,0x47C0,戦闘ランク,Battle Rank
06808.md1,0x47D0,パーティ表示,Party Display
06808.md1,0x47E0,移動時基本速度,Move Speed
06808.md1,0x47F0,メッセージスピード,Message Speed
06808.md1,0x4868,タイプ,Type
06808.md1,0x4870,サウンドテスト,Sound Test
06808.md1,0x4880,ステレオ,Stereo
06808.md1,0x4890,パン,Pan
06808.md1,0x4898,イベントボイス,Event Voice
06808.md1,0x48A8,戦闘ボイス,Battle Voice
06808.md1,0x48B8,効果音,SFX
06808.md1,0x48C8,飛行艇リバース,Airship Rev
06808.md1,0x48D8,カメラＬＲ回転,Camera L/R
06808.md1,0x48E8,特技ショートカット２,Skill Shortcut 2
06808.md1,0x4900,特技ショートカット１,Skill Shortcut 1
06808.md1,0x4918,ターゲット変更,Change Target
06808.md1,0x4928,作戦変更,Change Tactics
06808.md1,0x4938,メニュー,Menu
06808.md1,0x4948,特技,Skill
06808.md1,0x4950,防御,Guard
06808.md1,0x4958,攻撃,Attack
06808.md1,0x4960,"<button:00000021>変更
<button:00000036>戻る","<button:00000021>Change
<button:00000036>Back"
06808.md1,0x4AB8,"<button:00000035><button:00000036><button:00000037><button:00000038><button:00000039><button:0000003A><button:0000003B><button:0000003C>変更
<button:00000019>戻る","<button:00000035><button:00000036><button:00000037><button:00000038><button:00000039><button:0000003A><button:0000003B><button:0000003C>Edit
<button:00000019>Back"
06808.md1,0x4AF0,"<button:00000021>変更
<button:00000036>戻る
<button:00000039><button:0000003A>ウィンドウ消去","<button:00000021>Change
<button:00000036>Back
<button:00000039><button:0000003A>Hide Window"
06808.md1,0x4B20,"<button:00000035>決定
<button:00000036>キャンセル
<button:00000037>元に戻す
<button:00000038>デフォルト
<button:00000024>調整","<button:00000035>OK
<button:00000036>Cancel
<button:00000037>Undo
<button:00000038>Default
<button:00000024>Adjust"
06808.md1,0x4B68,"<button:00000035><button:0000001D>サブメニュー
<button:00000036>戻る","<button:00000035><button:0000001D>Submenu
<button:00000036>Back"
06808.md1,0x4B90,"<button:00000035>決定
<button:00000036>戻る","<button:00000035>Select
<button:00000036>Back"
06809.md1,0x2D40,ステータス,Status
06809.md1,0x2D50,"<button:00000035>名前変更
<button:00000036>戻る
<button:00000038>イメージ切替
<button:00000021><button:00000039><button:0000003A>キャラ切替","<button:00000035>Rename
<button:00000036>Back
<button:00000038>Image
<button:00000021><button:00000039><button:0000003A>Switch Char"
06809.md1,0x2DB0,詠唱速度,Cast Speed
06809.md1,0x2DC0,ＴＰ軽減,TP Reduce
06809.md1,0x2DD0,ＴＰ回復,TP Regen
06809.md1,0x2DE0,ＳＰ軽減,SP Reduce
06809.md1,0x2DF0,ＳＰ回復,SP Regen
06809.md1,0x2E00,幸運,Luck
06809.md1,0x2E08,回避,Evade
06809.md1,0x2E10,命中,Hit
06809.md1,0x2E18,知性,Int
06809.md1,0x2E20,防御,Def
06809.md1,0x2E28,攻撃,Atk
06809.md1,0x2E40,装飾品,Jewelry
06809.md1,0x2E50,外装,Outfit
06809.md1,0x2E70,武器,Weapon
06809.md1,0x2E78,闇属性,Dark
06809.md1,0x2E80,光属性,Light
06809.md1,0x2E88,風属性,Wind
06809.md1,0x2E90,火属性,Fire
06809.md1,0x2E98,水属性,Water
06809.md1,0x2EA0,地属性,Earth
06809.md1,0x2EA8,チェイン,Chain
06809.md1,0x2EB8,マジック,Magic
06809.md1,0x2EC8,スキル,Skill
06809.md1,0x2ED0,アタック,Attack
06809.md1,0x2F60,"<button:00000035>称号変更
<button:00000036>戻る
<button:00000037>説明切替
<button:00000038>イメージ切替
<button:00000021><button:00000039><button:0000003A>キャラ切替","<button:00000035>Change Title
<button:00000036>Back
<button:00000037>Info
<button:00000038>Image
<button:00000021><button:00000039><button:0000003A>Switch Char"
06809.md1,0x2FB8,"<button:00000035>決定
<button:00000036>戻る
<button:00000037>説明切替","<button:00000035>Select
<button:00000036>Back
<button:00000037>Info"
06810.md1,0x3440,"<button:00000035>入力
<button:00000036>戻る
<button:00000037>削除","<button:00000035>Enter
<button:00000036>Back
<button:00000037>Del"
06810.md1,0x3460,"<button:00000035>決定
<button:00000036>戻る
<button:00000037>削除
<button:00000039><button:0000003A>フォント切替
<button:0000003B><button:0000003C>入力位置切替","<button:00000035>OK
<button:00000036>Back
<button:00000037>Del
<button:00000039><button:0000003A>Font
<button:0000003B><button:0000003C>Cursor"
06810.md1,0x34F8,"<button:00000035>決定
<button:00000036>戻る","<button:00000035>Select
<button:00000036>Back"
06810.md1,0x3560,"入力を取りやめますか？
<size:000000E0>（入力の反映は「決定」上で<button:00000035>）<size:00000100>
 
<button:00000035>やめる  <button:00000036>入力に戻る","Cancel this entry?
<size:000000E0>(Confirm with <button:00000035> on ""OK"")<size:00000100>
 
<button:00000035>Cancel  <button:00000036>Back to entry"
06811.md1,0x2558,アイテム,Items
06811.md1,0x2568,"<button:00000035>使用
<button:00000036>戻る
<button:00000037>説明切替","<button:00000035>Use
<button:00000036>Back
<button:00000037>Info"
06811.md1,0x2590,<button:00000035><button:00000036>戻る,<button:00000035><button:00000036>Back
06812.md1,0xB440,"<button:00000035>決定
<button:00000036>戻る","<button:00000035>Select
<button:00000036>Back"
06812.md1,0xB470,<button:00000036>戻る,<button:00000036>Back
06813.md1,0x7800,"<button:00000021><button:00000039><button:0000003A>モンスター切替
<button:00000038>リスト表示
<button:00000036>戻る","<button:00000021><button:00000039><button:0000003A>Switch
<button:00000038>List View
<button:00000036>Back"
06813.md1,0x7838,防御回数,Block Count
06813.md1,0x7848,ＴＰ軽減,TP Reduce
06813.md1,0x7858,ＴＰ回復,TP Regen
06813.md1,0x7868,ＳＰ軽減,SP Reduce
06813.md1,0x7878,ＳＰ回復,SP Regen
06813.md1,0x7888,幸運,Luck
06813.md1,0x7890,回避,Evade
06813.md1,0x7898,命中,Hit
06813.md1,0x78A0,知性,Int
06813.md1,0x78A8,防御,Def
06813.md1,0x78B0,攻撃,Atk
06813.md1,0x78C8,ガルド,Gald
06813.md1,0x78D8,闇属性,Dark
06813.md1,0x78E0,光属性,Light
06813.md1,0x78E8,風属性,Wind
06813.md1,0x78F0,火属性,Fire
06813.md1,0x78F8,水属性,Water
06813.md1,0x7900,地属性,Earth
06813.md1,0x7908,落とすアイテム,Drop Item
06813.md1,0x7918,盗めるアイテム,Steal Item
06813.md1,0x7928,特殊抵抗,Special Res
06813.md1,0x79B0,<button:00000035><button:00000036>戻る,<button:00000035><button:00000036>Back
06814.md1,0x4278,アイテム,Items
06814.md1,0x4288,装身具,Trinket
06814.md1,0x4290,防具,Armor
06814.md1,0x4298,武器,Weapon
06814.md1,0x42A0,道具,Items
06814.md1,0x42B0,外装,Outfit
06814.md1,0x42B8,装飾品,Jewelry
06814.md1,0x42C0,腕輪,Bangle
06814.md1,0x42C8,短剣,Dagger
06814.md1,0x42D0,篭手,Glove
06814.md1,0x4308,両手,2-Hand
06814.md1,0x4318,貴重品,Special
06814.md1,0x4320,食材,Food
06814.md1,0x4328,調理器具,Cookware
06814.md1,0x4338,"<button:00000035>決定
<button:00000036>戻る","<button:00000035>Select
<button:00000036>Back"
06814.md1,0x4370,"<button:00000037>説明切替
<button:00000036>戻る","<button:00000037>Info
<button:00000036>Back"
06814.md1,0x4388,<button:00000036>戻る,<button:00000036>Back
06814.md1,0x43D8,<button:00000035><button:00000036>戻る,<button:00000035><button:00000036>Back
06815.md1,0x990,メモリーカード差込口４,Memory Card Slot 4
06815.md1,0x9A8,メモリーカード差込口３,Memory Card Slot 3
06815.md1,0x9C0,メモリーカード差込口２,Memory Card Slot 2
06815.md1,0x9D8,メモリーカード差込口１,Memory Card Slot 1
06815.md1,0xA50,"にメモリーカード（ＰＳ２）を
差して下さい。",", please insert a
Memory Card (PS2)."
06815.md1,0xA88,"　　　　このままゲームを開始しますか？　　　　
 
<button:00000035>はい  <button:00000036>いいえ","    Start the game anyway?    
 
<button:00000035>Yes  <button:00000036>No"
06815.md1,0xAD0,"のメモリーカード（ＰＳ２）に
アクセスできません。","'s Memory Card (PS2)
cannot be accessed."
06815.md1,0xB08,"のメモリーカード（ＰＳ２）の
空き容量が不足しています。
 
このゲームのデータをセーブする為には最低
以下の空き容量が必要です。
 
・セーブデータ（新規作成）  ","'s Memory Card (PS2)
does not have enough free space.
 
To save this game you need at
least the following free space:
 
- Save data (new)  "
06815.md1,0xBB0,"KB
・中断データ（新規作成）    ","KB
- Suspend data (new)    "
06816.md1,0xFE8,"以上の設定で、ゲームを開始します。
<button:00000025>ゲーム開始<button:00000026>戻る","Start the game with these settings.
<button:00000025>Start<button:00000026>Back"
06816.md1,0x1028,ゲーム開始,Start Game
06816.md1,0x1038,"「クレイジーコメット」の追加晶術に
さらに追加発動が可能になります","Crazy Comet's added spell can
trigger an extra activation."
06816.md1,0x1080,連鎖発動,Chain Trigger
06816.md1,0x1090,"エンカウント数・最大ヒット数を引き継いで
ゲーム開始できます","Carry over encounter count and
max hits into the new game."
06816.md1,0x10D0,戦闘情報引継ぎ,Carry Battle
06816.md1,0x10E0,プレイ時間を引き継いでゲーム開始できます,Carry over your play time.
06816.md1,0x1110,プレイ時間引継ぎ,Carry Play Time
06816.md1,0x1128,"消費アイテムを１種類につき
３０個まで持つことができます","Hold up to 30 of each
consumable item."
06816.md1,0x1160,アイテム数３０個,Item Cap 30
06816.md1,0x1178,"消費アイテムを１種類につき
２０個まで持つことができます","Hold up to 20 of each
consumable item."
06816.md1,0x11B0,アイテム数２０個,Item Cap 20
06816.md1,0x11C8,"ワールドマップの情報を引き継いで
ゲーム開始できます","Carry over your world map
information."
06816.md1,0x1200,ワールドマップ引継ぎ,Carry World Map
06816.md1,0x1300,取得料理を引き継いでゲーム開始できます,Carry over learned recipes.
06816.md1,0x1328,料理引継ぎ,Carry Recipes
06816.md1,0x1338,"通常の取得経験値が１になる代わり、
連続ヒットボーナス経験値が４倍になります","Normal EXP gain drops to 1, but
combo bonus EXP becomes 4x."
06816.md1,0x1388,コンボ命,Combo Life
06816.md1,0x1398,"取得経験値が半分になります。
低レベルでクリアしたい人にお勧め","EXP gained is halved. Good for
a low-level playthrough."
06816.md1,0x13D8,経験値半分,Half EXP
06816.md1,0x13E8,敵が持つ取得経験値が２倍になります,Enemy EXP is doubled.
06816.md1,0x1410,経験値２倍,Double EXP
06816.md1,0x1420,"スカウトオーブ・ムーンセレクター
マジカルポットを引き継いでゲーム開始できます","Carry over Scout Orb, Moon
Selector and Magical Pot."
06816.md1,0x1470,ステキアイテム引継ぎ,Carry Rare Items
06816.md1,0x1488,"ランダムエンカウントをまったくしなくなります。
ゲームクリアの保証はできません
","Random encounters stop entirely.
Clearing the game isn't guaranteed.
"
06816.md1,0x14D8,エンカウント無効,No Encounters
06816.md1,0x14F0,"全キャラ最大HPが１６０でゲーム開始します。
最初から冷や汗かきたい人にお勧め","All characters start with 160 max HP.
For those who want a cold sweat."
06816.md1,0x1540,最大HP160スタート,Max HP 160 Start
