file,offset,budget,pinned,japanese,english
06179.sfm,0x29DC,30,,もっと勉強しねぇとダメだな････,"You've gotta study more, man..."
06180.sfm,0x2646,45,,"「テイルズオブデスティニー」クイズは
僕が出す","I'll be asking the
Tales of Destiny questions."
06180.sfm,0x2674,20,,全問正解を目指すんだ,Aim for a perfect score.
06180.sfm,0x2689,12,,よし、行くぞ,"All right, here I go!"
06180.sfm,0x2696,12,,油断するなよ,Don't get careless.
06180.sfm,0x26A3,20,,大丈夫、任せといてよ,"Don't worry, leave it to me."
06180.sfm,0x26B8,18,,では行くぞ、第一問,"Here we go, then. Question 1."
06180.sfm,0x26CB,8,,よっしゃ,All right!
06180.sfm,0x26D4,10,,その調子だ,That's the way.
06180.sfm,0x26DF,14,,あ、あれ････？,Huh...? Wait...
06180.sfm,0x26EE,28,,何をやっている、しっかりしろ,What are you doing? Pull yourself together.
06180.sfm,0x270B,6,,第二問,Question 2.
06180.sfm,0x2712,6,,第三問,Question 3.
06180.sfm,0x2719,16,,出だしは好調だな,Off to a good start.
06180.sfm,0x272A,6,,四問目,Question 4.
06180.sfm,0x2731,6,,第五問,Question 5.
06180.sfm,0x2738,6,,第六問,Question 6.
06180.sfm,0x273F,18,,よっしゃ、よっしゃ,"Yeah, yeah!"
06180.sfm,0x2752,14,,それでいいんだ,That's how it's done.
06180.sfm,0x2761,16,,おかしいなぁ････,That's weird...
06180.sfm,0x2772,18,,ふざけているのか？,Are you messing around?
06180.sfm,0x2785,6,,第七問,Question 7.
06180.sfm,0x278C,6,,第八問,Question 8.
06180.sfm,0x2793,6,,第九問,Question 9.
06180.sfm,0x279A,14,,詰めを誤るなよ,Don't slip up at the end.
06180.sfm,0x27A9,18,,よし、やってやる！,"All right, let's do this!"
06180.sfm,0x27BC,16,,冗談のつもりか？,Is this some kind of joke?
06180.sfm,0x27CD,32,,そ、そんなことないんだけどな････,"N-no, it isn't..."
06180.sfm,0x27EE,20,,これが最後だ、第十問,This is the last one. Question 10.
06180.sfm,0x2803,14,,おっしゃぁー！,Yeaaah!
06180.sfm,0x2812,18,,あぁぁぁぁぁ････！,Aaaaaagh...!
06180.sfm,0x2825,24,,くそー、ここまで来て････,"Damn, I came so close..."
06180.sfm,0x283E,20,,ふぅ、危なかった････,"Phew, that was close..."
06180.sfm,0x2853,24,,まぁ、こんなもんかな････,"Well, I guess that's about right..."
06180.sfm,0x286C,26,,全問正解だ。よく頑張ったな,A perfect score. Well done.
06180.sfm,0x289C,28,,おまえの実力はこんなもんか？,Is that really the best you can do?
06180.sfm,0x28B9,18,,修行が足らんな････,You need more training...
06181.sfm,0x2646,47,,"さぁ「テイルズオブエターニア」クイズの
時間だよ","All right, it's time for the
Tales of Eternia Quiz!"
06181.sfm,0x2676,34,,あたしのクイズは、ちょいと難しいよ,"My questions are a little tough, y'know."
06181.sfm,0x2699,12,,よし、行くぞ,"All right, here I go!"
06181.sfm,0x26A6,16,,手加減は無用だよ,No need to go easy on me.
06181.sfm,0x26B7,14,,わかってるって,"Yeah, I know."
06181.sfm,0x26C6,20,,じゃあ行くよ、第一問,Here we go. Question 1.
06181.sfm,0x26DB,8,,よっしゃ,All right!
06181.sfm,0x26E4,12,,その調子だよ,That's the way!
06181.sfm,0x26F1,14,,あ、あれ････？,Huh...? Wait...
06181.sfm,0x2700,22,,あせらない、あせらない,"Easy, easy. Don't rush."
06181.sfm,0x2717,14,,続いて、第二問,"Next up, Question 2."
06181.sfm,0x2726,14,,続いて、第三問,"Next up, Question 3."
06181.sfm,0x2735,18,,調子いいじゃないか,You're doing great!
06181.sfm,0x2748,6,,四問目,Question 4.
06181.sfm,0x274F,6,,第五問,Question 5.
06181.sfm,0x2756,6,,第六問,Question 6.
06181.sfm,0x275D,18,,よっしゃ、よっしゃ,"Yeah, yeah!"
06181.sfm,0x2770,18,,そう、その調子だよ,"Yeah, that's the way!"
06181.sfm,0x2783,16,,おかしいなぁ････,That's weird...
06181.sfm,0x2794,34,,ほら、肩の力を抜いてリラックスだよ,"C'mon, loosen up and relax."
06181.sfm,0x27B7,6,,第七問,Question 7.
06181.sfm,0x27BE,6,,第八問,Question 8.
06181.sfm,0x27C5,6,,第九問,Question 9.
06181.sfm,0x27CC,30,,あと一問！これさえ正解すれば！,One more! Get this one and you've done it!
06181.sfm,0x27EB,18,,よし、やってやる！,"All right, let's do this!"
06181.sfm,0x27FE,24,,ほら、ドンマイ、ドンマイ,"Hey, don't sweat it."
06181.sfm,0x2817,12,,う、うん････,Y-yeah...
06181.sfm,0x2824,22,,これが最後だよ、第十問,This is the last one. Question 10.
06181.sfm,0x283B,14,,おっしゃぁー！,Yeaaah!
06181.sfm,0x284A,18,,あぁぁぁぁぁ････！,Aaaaaagh...!
06181.sfm,0x285D,24,,くそー、ここまで来て････,"Damn, I came so close..."
06181.sfm,0x2876,20,,ふぅ、危なかった････,"Phew, that was close..."
06181.sfm,0x288B,24,,まぁ、こんなもんかな････,"Well, I guess that's about right..."
06181.sfm,0x28A4,34,,全問正解なんて、すごいじゃないか！,A perfect score? That's amazing!
06181.sfm,0x28C7,36,,こんな日もあるよ。気にすることないさ,Everyone has days like this. Don't worry about it.
06181.sfm,0x28EC,32,,もうちょいだったんだけどねぇ････,"You were so close, though..."
06181.sfm,0x290D,22,,次はきっとうまくいくよ,"You'll do better next time, I'm sure."
06182.sfm,0x2646,24,,さ、クイズを始めましょ！,"Okay, let's start the quiz!"
06182.sfm,0x265F,36,,ま、あんたには難しいかもしれないけど,Though it might be a bit hard for you.
06182.sfm,0x2684,12,,よし、行くぞ,"All right, here I go!"
06182.sfm,0x2691,30,,傾向が読まれてきてるのかしら？,"Hmm, are you catching on to my patterns?"
06182.sfm,0x26B0,24,,そ、そんなことないよ････,"N-no, not really..."
06182.sfm,0x26C9,24,,んじゃ、行くわよ、第一問,"Okay, here we go. Question 1."
06182.sfm,0x26E2,8,,よっしゃ,All right!
06182.sfm,0x26EB,18,,ふむ、簡単すぎた？,"Hmm, was that too easy?"
06182.sfm,0x26FE,14,,あ、あれ････？,Huh...? Wait...
06182.sfm,0x270D,16,,ま、こんなもんね,"Well, that's about what I expected."
06182.sfm,0x271E,14,,続いて、第二問,"Next up, Question 2."
06182.sfm,0x272D,14,,さらに、第三問,"And now, Question 3."
06182.sfm,0x273C,30,,これは、対策を立てる必要ありね,"Hmm, I'll have to rethink my approach."
06182.sfm,0x275B,6,,四問目,Question 4.
06182.sfm,0x2762,6,,第五問,Question 5.
06182.sfm,0x2769,6,,第六問,Question 6.
06182.sfm,0x2770,18,,よっしゃ、よっしゃ,"Yeah, yeah!"
06182.sfm,0x279E,16,,おかしいなぁ････,That's weird...
06182.sfm,0x27AF,20,,ま、しょうがないわよ,"Well, it can't be helped."
06182.sfm,0x27C4,6,,第七問,Question 7.
06182.sfm,0x27CB,6,,第八問,Question 8.
06182.sfm,0x27D2,6,,第九問,Question 9.
06182.sfm,0x27D9,26,,明日は槍でも降るのかしら？,Is the sky going to fall tomorrow?
06182.sfm,0x27F4,12,,あと一問だ！,One more to go!
06182.sfm,0x2801,22,,ほら、あとがないわよ？,"Hey, this is your last chance, you know?"
06182.sfm,0x2818,12,,う、うん････,Y-yeah...
06182.sfm,0x2825,20,,これで終了～、第十問,And this is the end~ Question 10.
06182.sfm,0x283A,14,,おっしゃぁー！,Yeaaah!
06182.sfm,0x2849,18,,あぁぁぁぁぁ････！,Aaaaaagh...!
06182.sfm,0x285C,24,,くそー、ここまで来て････,"Damn, I came so close..."
06182.sfm,0x2875,20,,ふぅ、危なかった････,"Phew, that was close..."
06182.sfm,0x288A,24,,まぁ、こんなもんかな････,"Well, I guess that's about right..."
06182.sfm,0x28A3,16,,あんた、やるわね,"Not bad at all, you."
06182.sfm,0x28B4,30,,全て私の計算通りね、グフフ････,All according to my calculations. Guhuhu...
06182.sfm,0x28D3,36,,ふむ、問題の出し方が甘かったかしら？,"Hmm, were my questions too soft?"
06183.sfm,0x2646,36,,ＴＯＤ２問題、みんなでかかってこい！,"TOD2 quiz! Come at me, everyone!"
06183.sfm,0x266B,20,,全問正解できるかな？,Can you get them all right?
06183.sfm,0x2680,18,,今度は負けないぞ！,I won't lose this time!
06183.sfm,0x2693,25,,それじゃ、第一問、<Loni>！,"Okay, Question 1: <Loni>!"
06183.sfm,0x26AD,12,,よし、来い！,"All right, bring it!"
06183.sfm,0x26BA,10,,楽勝だな！,Piece of cake!
06183.sfm,0x26C5,10,,ほっとけ！,Leave me alone!
06183.sfm,0x26D0,15,,第二問、<Reala>！,Question 2: <Reala>!
06183.sfm,0x26E0,4,,はい,Yes!
06183.sfm,0x26E5,10,,えへへ････,Ehehe...
06183.sfm,0x26F0,4,,え？,Huh?
06183.sfm,0x26F5,23,,じゃあ、第三問、<Judas>！,"Then, Question 3: <Judas>!"
06183.sfm,0x270D,14,,くだらんな････,How pointless...
06183.sfm,0x271C,12,,ふん、当然だ,Hmph. Naturally.
06183.sfm,0x2729,26,,わざとに決まっているだろう,Obviously I did that on purpose.
06183.sfm,0x2744,15,,第四問、<Nanaly>！,Question 4: <Nanaly>!
06183.sfm,0x2754,10,,まかせな！,Leave it to me!
06183.sfm,0x275F,18,,ま、こんなもんだね,"Well, that's about right."
06183.sfm,0x2772,18,,あれ、違ったかい？,Huh? Was that wrong?
06183.sfm,0x2785,15,,第五問、<Harold>！,Question 5: <Harold>!
06183.sfm,0x2795,8,,ホイ来た,Here we go!
06183.sfm,0x279E,8,,当然だわ,Naturally.
06183.sfm,0x27A7,20,,問題が間違ってるのよ,The question is what's wrong.
06183.sfm,0x27BC,27,,第六問、最初に戻って<Loni>！,Question 6. Back to the start: <Loni>!
06183.sfm,0x27D8,20,,よっしゃ、まかせろ！,"All right, leave it to me!"
06183.sfm,0x27ED,10,,おっしゃ！,Yeah!
06183.sfm,0x27F8,15,,第七問、<Reala>！,Question 7: <Reala>!
06183.sfm,0x2808,10,,やったぁ！,I did it!
06183.sfm,0x2813,10,,そんな････,Oh no...
06183.sfm,0x281E,15,,第八問、<Judas>！,Question 8: <Judas>!
06183.sfm,0x282E,12,,何で僕が････,Why do I have to...
06183.sfm,0x283B,22,,ちゃっかり正解してるし,And he got it right anyway.
06183.sfm,0x2852,16,,間違えてるし････,And he got it wrong...
06183.sfm,0x2863,14,,う、うるさい！,Sh-shut up!
06183.sfm,0x2872,15,,第九問、<Nanaly>！,Question 9: <Nanaly>!
06183.sfm,0x2882,6,,いいよ,Sure.
06183.sfm,0x2889,10,,見たかい！,See that!?
06183.sfm,0x2894,30,,誰だい、こんな問題作ったのは？,Who came up with this question?
06183.sfm,0x28B3,31,,第十問、これで終わりだ、<Harold>！,"Question 10, the last one: <Harold>!"
06183.sfm,0x28D3,16,,まっかせなさい！,Leave it to me!
06183.sfm,0x28E4,12,,簡単すぎだわ,Way too easy.
06183.sfm,0x28F1,16,,度し難いわね････,Hopeless...
06183.sfm,0x2902,20,,みんな、さすがだな！,That's everyone for you!
06183.sfm,0x2917,26,,あれ････難しすぎた、かな？,Huh... Was that too hard?
06183.sfm,0x2932,36,,まだまだ、全問正解目指して頑張ろう！,Not there yet. Let's go for a perfect score!
06183.sfm,0x2957,22,,もっともっと頑張ろう！,Let's try a lot harder!
06184.sfm,0x2684,15,,**間違い1,**Wrong 1
06184.sfm,0x2694,15,,**間違い2,**Wrong 2
06184.sfm,0x26A4,15,,**間違い3,**Wrong 3
06184.sfm,0x26B4,15,,**間違い4,**Wrong 4
06184.sfm,0x26C4,15,,**間違い5,**Wrong 5
06184.sfm,0x26D4,15,,**間違い6,**Wrong 6
06184.sfm,0x26E4,31,,**間違い7,**Wrong 7
06184.sfm,0x2704,15,,**間違いです1,**That's wrong 1
06184.sfm,0x2714,15,,**間違いです2,**That's wrong 2
06184.sfm,0x2724,15,,**間違いです3,**That's wrong 3
06184.sfm,0x2734,15,,**間違いです4,**That's wrong 4
06184.sfm,0x2744,15,,**間違いです5,**That's wrong 5
06184.sfm,0x2754,15,,**間違いです6,**That's wrong 6
06184.sfm,0x2764,15,,**間違いです7,**That's wrong 7
06184.sfm,0x277A,18,,「せいかい」を選べ,Pick 'Correct'.
06184.sfm,0x278D,8,,せいかい,Correct
06184.sfm,0x2796,10,,まちがい１,Wrong 1
06184.sfm,0x27A1,10,,まちがい２,Wrong 2
06184.sfm,0x27AC,10,,まちがい３,Wrong 3
06184.sfm,0x27B7,12,,せいかいです,That's correct.
06184.sfm,0x27C4,14,,まちがい１です,That's wrong 1.
06184.sfm,0x27D3,14,,まちがい２です,That's wrong 2.
06184.sfm,0x27E2,14,,まちがい３です,That's wrong 3.
06184.sfm,0x27F1,8,,時間切れ,Time's up.
06184.sfm,0x27FA,49,,"試練の洞窟で、実際に出現しない
忍者は誰でしょう？","Which of these ninja does NOT
actually appear in the Cave of Trials?"
06184.sfm,0x282C,8,,さるとび,Sarutobi
06184.sfm,0x2835,6,,こすけ,Kosuke
06184.sfm,0x283C,8,,さいぞう,Saizo
06184.sfm,0x2845,8,,じんぱち,Jinpachi
06184.sfm,0x284E,6,,正解！,Correct!
06184.sfm,0x2855,6,,違うわ,Wrong.
06184.sfm,0x285C,16,,残念、時間切れね,"Too bad, time's up."
06184.sfm,0x286D,34,,チェスターの妹の名前は何でしょう？,"What is the name of
Chester's little sister?"
06184.sfm,0x2890,6,,アミィ,Ami
06184.sfm,0x2897,8,,アーミィ,Army
06184.sfm,0x28A0,6,,アミン,Amin
06184.sfm,0x28A7,8,,アーチェ,Arche
06184.sfm,0x28B0,6,,アリス,Alice
06184.sfm,0x28B7,6,,アイラ,Aila
06184.sfm,0x28BE,8,,アミーィ,Amiii
06184.sfm,0x28C7,8,,アーミー,Armie
06184.sfm,0x28D0,22,,････う～ん、おしいわね,"...Hmm, so close."
06184.sfm,0x28E7,22,,違うわ、もっと良く見て,Wrong. Look more carefully.
06184.sfm,0x28FE,14,,それは別の人よ,That's someone else.
06184.sfm,0x290D,24,,････う～ん、おしいかなぁ,"...Hmm, close, maybe?"
06184.sfm,0x2926,28,,ちょっと意地悪だったかしら？,Was that a bit mean of me?
06184.sfm,0x2969,8,,オルソン,Olson
06184.sfm,0x2972,8,,クレソン,Cresson
06184.sfm,0x297B,8,,ノーソン,Norson
06184.sfm,0x2984,8,,トムソン,Thomson
06184.sfm,0x298D,8,,マンソン,Manson
06184.sfm,0x2996,10,,ギャルソン,Garcon
06184.sfm,0x29A1,8,,アリソン,Alison
06184.sfm,0x29AA,4,,ごん,Gon
06184.sfm,0x29AF,28,,････ねぇ、適当に答えてない？,"...Hey, are you just guessing?"
06184.sfm,0x29CC,30,,････ちょっと難しかったかしら？,...Was that a little too hard?
06184.sfm,0x29EB,57,,"ユークリッド城の闘技場で
突然乱入してくるのは誰でしょう？","Who suddenly barges into the arena
at Euclid Castle?"
06184.sfm,0x2A25,6,,リリス,Lilith
06184.sfm,0x2A2C,6,,リッド,Reid
06184.sfm,0x2A3B,6,,リオン,Leon
06184.sfm,0x2A42,10,,コングマン,Kongman
06184.sfm,0x2A4D,6,,ファラ,Farah
06184.sfm,0x2A5C,35,,"正解！
どうやって乱入したのかしら？","Correct!
How did she even get in there?"
06184.sfm,0x2A80,45,,"違うわ
それはテイルズオブエターニアの主人公よ","Wrong.
That's the hero of Tales of Eternia."
06184.sfm,0x2AAE,10,,････えっ？,...Huh?
06184.sfm,0x2AB9,62,,"違うわ
それはテイルズオブデスティニーに
出てくるキャラクターよ","Wrong.
That's a character from
Tales of Destiny."
06184.sfm,0x2AF8,60,,"違うわ
それはテイルズオブエターニアに
出てくるキャラクターよ","Wrong.
That's a character from
Tales of Eternia."
06184.sfm,0x2B35,16,,乱入････したの？,Barged in... Did she?
06184.sfm,0x2B46,26,,ちょっと意外な人だと思うわ,It's a rather surprising person.
06184.sfm,0x2B9F,10,,みそおでん,Miso Oden
06184.sfm,0x2BAA,8,,にくなべ,Meat Hot Pot
06184.sfm,0x2BB3,10,,さかななべ,Fish Hot Pot
06184.sfm,0x2BBE,14,,ビーフシチュー,Beef Stew
06184.sfm,0x2BCD,8,,だいこん,Daikon
06184.sfm,0x2BD6,8,,かんづめ,Canned Food
06184.sfm,0x2BDF,50,,"正解！
全回復するなんて
すごい食べ物だと思わない？","Correct!
A food that fully heals you...
Amazing, don't you think?"
06184.sfm,0x2C12,18,,････生で食べるの？,...You eat that raw?
06184.sfm,0x2C25,32,,････それは料理とは言わないわ････,...That's not a dish...
06184.sfm,0x2C46,56,,"いつも食べてばかりじゃなくて
<Kyle>も料理を覚えましょう？","Instead of just eating all the time,
why don't you learn to cook, <Kyle>?"
06184.sfm,0x2C7F,63,,"モンスター「トレント」から
盗むことの出来る交易品は何でしょう？","Which trade good can you steal
from the monster Treant?"
06184.sfm,0x2CBF,8,,こくたん,Ebony
06184.sfm,0x2CC8,6,,セージ,Sage
06184.sfm,0x2CCF,8,,セボリー,Savory
06184.sfm,0x2CD8,12,,ティーカップ,Teacup
06184.sfm,0x2CE5,10,,しゃみせん,Shamisen
06184.sfm,0x2CF0,16,,しんせいなまるた,Sacred Log
06184.sfm,0x2D01,6,,ねっこ,Root
06184.sfm,0x2D08,33,,"違うわ
これは成長アイテムの一つよ","Wrong.
That's one of the stat-boosting items."
06184.sfm,0x2D2A,27,,"違うわ
成長アイテムの一つよ","Wrong.
It's a stat-boosting item."
06184.sfm,0x2D46,42,,"違うわ
これはバンシーから
手に入れられるわ","Wrong.
You get that from
a Banshee."
06184.sfm,0x2D71,44,,"違うわ
ニンジャマスターから
手に入れられるわ","Wrong.
You get that from
a Ninja Master."
06184.sfm,0x2D9E,29,,"違うわ
とても貴重なアイテムよ","Wrong.
That's a very precious item."
06184.sfm,0x2DBC,30,,････それを････どうするつもり？,...What are you... going to do with that?
06184.sfm,0x2DDB,28,,････ちょっと難しかったかな？,...Was that a little too hard?
06184.sfm,0x2DF8,55,,"風の精霊の研究者、
バート・クラインは誰の父親でしょう？","Bart Klein, the researcher of
wind spirits, is whose father?"
06184.sfm,0x2E30,6,,ミント,Mint
06184.sfm,0x2E37,6,,クレス,Cress
06184.sfm,0x2E3E,10,,チェスター,Chester
06184.sfm,0x2E49,8,,クラース,Klarth
06184.sfm,0x2E52,4,,すず,Suzu
06184.sfm,0x2E57,33,,<Kyle>の父親はスタンさんでしょう？,"<Kyle>'s father is Stahn, isn't he?"
06184.sfm,0x2E79,16,,残念、時間切れよ,"Too bad, time's up."
06184.sfm,0x2F04,16,,モンスター大百科,Monster Encyclopedia
06184.sfm,0x2F28,18,,モンスター特大全集,Giant Monster Compendium
06184.sfm,0x2F4A,14,,モンスター百科,Monster Guide
06184.sfm,0x2F59,16,,モンスターえほん,Monster Picture Book
06184.sfm,0x2F6A,18,,たのしいモンスター,Fun with Monsters
06184.sfm,0x2F7D,33,,"違うわ
もっと多いときのタイトルね","Wrong.
That's the title when you have more."
06184.sfm,0x2F9F,31,,"違うわ
完成したときのタイトルね","Wrong.
That's the title when it's complete."
06184.sfm,0x2FBF,23,,"違うわ
最初のタイトルね","Wrong.
That's the first title."
06184.sfm,0x2FD7,22,,････う～ん、おしいなぁ,"...Hmm, so close."
06184.sfm,0x2FEE,26,,良く考えたら分かると思うわ,Think it over and you'll get it.
06184.sfm,0x3009,121,,"モリスンの後を追い、
地下墓地に踏み込んだクレスたち
危険地帯を渡るための浮遊装置に乗った
クレスが発した言葉は何でしょう？","Chasing after Morrison, Cress and
friends enter the catacombs. What does
Cress say when he rides the floating
device to cross the danger zone?"
06184.sfm,0x3083,22,,浮いてる････かっこいー,It's floating... So cool!
06184.sfm,0x309A,20,,浮いてる････すごい！,It's floating... Amazing!
06184.sfm,0x30AF,22,,浮いてる････なんで！？,It's floating... But why!?
06184.sfm,0x30C6,22,,浮いてる････これなら！,It's floating... With this...!
06184.sfm,0x30DD,16,,浮いてる････わー,It's floating... Wow!
06184.sfm,0x3122,109,,"アルヴァニスタのレアード王子を
あやつっていた魔物・ジャミルが
正体を隠すため姿をかえていた
ものは何でしょう？","Jamir, the demon who controlled
Prince Laird of Alvanista, disguised
himself as what to hide his identity?"
06184.sfm,0x3190,6,,インコ,A parakeet
06184.sfm,0x3197,10,,王子の側近,The prince's aide
06184.sfm,0x31A2,6,,メイド,A maid
06184.sfm,0x31A9,4,, 犬 ,A dog
06184.sfm,0x31AE,4,, 猫 ,A cat
06184.sfm,0x31B3,16,,ブッシュベイビー,Bush Baby
06184.sfm,0x3211,16,,エメラルドの指輪,Emerald Ring
06184.sfm,0x3222,18,,ダイヤモンドの指輪,Diamond Ring
06184.sfm,0x3235,16,,サファイアの指輪,Sapphire Ring
06184.sfm,0x3246,12,,ルビーの指輪,Ruby Ring
06184.sfm,0x3253,16,,ターコイズの指輪,Turquoise Ring
06184.sfm,0x333A,125,,"プレイステーション版ミニゲーム
ＧＲＯＯＶＹアーチェで、
アーチェが「ＧＲＯＯＶＹ」の称号を
得るのに必要な点数は何点でしょう？","In the PlayStation minigame
Groovy Arche, how many points does
Arche need to earn the
title 'Groovy'?"
06184.sfm,0x33B8,8,,２０万点,"200,000"
06184.sfm,0x33C1,8,,１０万点,"100,000"
06184.sfm,0x33CA,8,,３０万点,"300,000"
06184.sfm,0x33D3,8,,４０万点,"400,000"
06184.sfm,0x33DC,8,,５０万点,"500,000"
06184.sfm,0x344F,6,,ポープ,Pope
06184.sfm,0x3456,12,,カーディナル,Cardinal
06184.sfm,0x3463,10,,ビショップ,Bishop
06184.sfm,0x346E,10,,プリースト,Priest
06184.sfm,0x3479,10,,クレリック,Cleric
06184.sfm,0x3484,90,,"この称号は最高の法術師の 
証となるもので
ミントがこれを名乗るには
彼女のレベルが８０必要よ","This title is proof of the 
greatest cleric, and Mint
needs to be level 80
to claim it."
06184.sfm,0x34DF,84,,"この称号は
選ばれた法術師に与えられる称号だけど
もっと上のランクの称号が存在するわよ","This title is given to
chosen clerics, but there is
a higher-ranked title."
